fold,combo_id,min_cluster_size,min_samples,dbcv_score,n_clusters,n_noise_points,f1,precision,recall,auc,auprc,TP,FP,FN,train_time,val_time
1,0,5,300,0.1810263438388082,4,54220,0.011370348493797991,0.00571852952098032,0.9746835443037974,0.8466890761914567,0.005686679887597769,77,13388,2,6.400964021682739,0.652759313583374
1,1,5,315,0.15698157226498613,4,55203,0.011163465023559261,0.005613881598133566,0.9746835443037974,0.8437944352771927,0.005582158508578904,77,13639,2,5.254842758178711,0.6508724689483643
1,2,5,325,0.18633798458863746,4,55944,0.011011798355380764,0.005537178196461959,0.9746835443037974,0.841740012410573,0.005507126191956937,77,13829,2,5.264435529708862,0.652256965637207
1,3,5,335,0.1444662835739528,4,56563,0.010898025617436842,0.005479647025334472,0.9746835443037974,0.8401842385723945,0.005451059647734445,77,13975,2,5.272789716720581,0.6525812149047852
1,4,5,350,0.18523824115800616,4,57491,0.010728716734011426,0.005394045534150613,0.9746835443037974,0.8376549582464918,0.0053659957114080645,77,14198,2,5.291888236999512,0.6546528339385986
1,5,10,300,0.1810263438388082,4,54220,0.011370348493797991,0.00571852952098032,0.9746835443037974,0.846689910983357,0.0056866874233501286,77,13388,2,5.248940944671631,0.6502017974853516
1,6,10,315,0.15698157226498613,4,55203,0.011163465023559261,0.005613881598133566,0.9746835443037974,0.8437813568707547,0.005582004424695337,77,13639,2,5.259757041931152,0.6512579917907715
1,7,10,325,0.18633798458863746,4,55944,0.011011798355380764,0.005537178196461959,0.9746835443037974,0.841740012410573,0.005507126191956937,77,13829,2,5.270642280578613,0.6522908210754395
1,8,10,335,0.1444662835739528,4,56563,0.010898025617436842,0.005479647025334472,0.9746835443037974,0.8401842385723947,0.005451059647734445,77,13975,2,5.274161338806152,0.652524471282959
1,9,10,350,0.19085706374286085,3,57498,0.010724980848248486,0.005392156862745098,0.9746835443037974,0.8375986097932222,0.0053641249613752,77,14203,2,5.284201622009277,0.6542284488677979
1,10,25,300,0.11316588284718108,28,129409,0.004885892757746304,0.002448928981059549,1.0,0.646295889206419,0.002448928981059549,79,32180,0,5.250283718109131,0.6497821807861328
1,11,25,315,0.15698157226498613,4,55203,0.011163465023559261,0.005613881598133566,0.9746835443037974,0.8437813568707547,0.005582004424695337,77,13639,2,5.260784387588501,0.6514666080474854
1,12,25,325,0.18633798458863746,4,55944,0.011011798355380764,0.005537178196461959,0.9746835443037974,0.841740012410573,0.005507126191956937,77,13829,2,5.263968467712402,0.6519427299499512
1,13,25,335,0.1444662835739528,4,56563,0.010898025617436842,0.005479647025334472,0.9746835443037974,0.8400707068739548,0.00544979568134325,77,13975,2,5.2685160636901855,0.6526248455047607
1,14,25,350,0.19085706374286085,3,57498,0.010724980848248486,0.005392156862745098,0.9746835443037974,0.8375986097932222,0.0053641249613752,77,14203,2,5.283818006515503,0.654038667678833
1,15,50,300,0.11221556914648323,26,129471,0.0048836274843136645,0.0024477907913490735,1.0,0.6461310178061112,0.0024477907913490735,79,32195,0,5.253335475921631,0.6503853797912598
1,16,50,315,0.1508777954512934,3,55237,0.011154570476604375,0.0056093829678735335,0.9746835443037974,0.8436573902735613,0.005577551653322274,77,13650,2,5.258448839187622,0.6512415409088135
1,17,50,325,0.15635576379740185,3,55971,0.011003929974991068,0.005533199195171026,0.9746835443037974,0.8415196273488957,0.005501986110919797,77,13839,2,5.266689777374268,0.6522572040557861
1,18,50,335,0.19144729205816913,3,56590,0.010891859395996888,0.005476529160739687,0.9746835443037974,0.8399805493487231,0.005446708569094601,77,13983,2,5.268604755401611,0.6526873111724854
1,19,50,350,0.19085706374286085,3,57498,0.010724980848248486,0.005392156862745098,0.9746835443037974,0.8375986097932222,0.0053641249613752,77,14203,2,5.287700414657593,0.6541099548339844
1,20,75,300,0.10266227370367431,24,129246,0.004889975550122249,0.0024509803921568627,1.0,0.6465926577269729,0.0024509803921568627,79,32153,0,5.250664234161377,0.6510655879974365
1,21,75,315,0.1508777954512934,3,55237,0.011154570476604375,0.0056093829678735335,0.9746835443037974,0.8435494238544569,0.005576334595737152,77,13650,2,5.210167407989502,0.6513571739196777
1,22,75,325,0.15635576379740185,3,55971,0.011003929974991068,0.005533199195171026,0.9746835443037974,0.8415196273488957,0.005501986110919797,77,13839,2,5.263906478881836,0.6520051956176758
1,23,75,335,0.19144729205816913,3,56590,0.010891859395996888,0.005476529160739687,0.9746835443037974,0.8399805493487231,0.005446708569094601,77,13983,2,5.268924951553345,0.6527831554412842
1,24,75,350,0.19085706374286085,3,57498,0.010724980848248486,0.005392156862745098,0.9746835443037974,0.8375986097932222,0.0053641249613752,77,14203,2,5.287092924118042,0.6544642448425293
2,0,5,300,0.9573928571171905,2,8004,0.06749049429657794,0.03506172839506173,0.8987341772151899,0.9443536067184053,0.03247131052934874,71,1954,8,5.248485803604126,0.6490213871002197
2,1,5,315,0.9573214285457639,2,8034,0.06713947990543735,0.03487229862475442,0.8987341772151899,0.9442226835220426,0.03230130534095976,71,1965,8,5.25896143913269,0.6498982906341553
2,2,5,325,0.9572857142600506,2,8054,0.06688648139425342,0.034735812133072405,0.8987341772151899,0.9440868907062616,0.03217789261115666,71,1973,8,5.269155979156494,0.6500964164733887
2,3,5,335,0.9570714285457708,2,8083,0.0669811320754717,0.03478686918177364,0.8987341772151899,0.9440344379485267,0.032221314171136925,71,1970,8,5.267898082733154,0.650846004486084
2,4,5,350,0.9566428571172112,2,8142,0.06629318394024276,0.034415899175957346,0.8987341772151899,0.9437581218295299,0.03188563475777468,71,1992,8,5.2839391231536865,0.652686357498169
2,5,10,300,0.17957190755848107,4,54281,0.010994575045207957,0.0055288811290557256,0.9620253164556962,0.8356707970314801,0.005446417337275934,76,13670,3,5.202246189117432,0.6478919982910156
2,6,10,315,0.17783425135078204,4,55221,0.01078549634570354,0.0054231482802911376,0.9620253164556962,0.832822069671732,0.005345023228940775,76,13938,3,5.258031129837036,0.6490933895111084
2,7,10,325,0.10106346714716165,4,55868,0.010653956683255065,0.0053566394135889485,0.9620253164556962,0.830988170998773,0.00528134121042246,76,14112,3,5.265863418579102,0.6500651836395264
2,8,10,335,0.16030425597735468,4,56560,0.01052777392990719,0.0052928476913434086,0.9620253164556962,0.8291958727888449,0.005220461530054421,76,14283,3,5.267138957977295,0.6504168510437012
2,9,10,350,0.1575314604750688,4,57504,0.010348583877995643,0.0052022725717023755,0.9620253164556962,0.8264041895422837,0.005132538413707308,76,14533,3,5.283381223678589,0.6519956588745117
2,10,25,300,0.10754673991529194,28,129457,0.0048125867653863955,0.002412172191984166,0.9873417721518988,0.6383539573310034,0.002405637598793752,78,32258,1,5.246318101882935,0.6474795341491699
2,11,25,315,0.17783425135078204,4,55221,0.01078549634570354,0.0054231482802911376,0.9620253164556962,0.8328223479356986,0.005345023228940775,76,13938,3,5.255024433135986,0.6489078998565674
2,12,25,325,0.10106346714716165,4,55868,0.010653956683255065,0.0053566394135889485,0.9620253164556962,0.8309883101307562,0.00528134121042246,76,14112,3,5.259957313537598,0.6497390270233154
2,13,25,335,0.16030425597735468,4,56560,0.01052777392990719,0.0052928476913434086,0.9620253164556962,0.8291960119208284,0.005220461530054421,76,14283,3,5.266299247741699,0.650423526763916
2,14,25,350,0.14573587452700837,3,57517,0.010345766403484889,0.005200848559501813,0.9620253164556962,0.8263592499116512,0.005131145367222636,76,14537,3,5.285058498382568,0.6520648002624512
2,15,50,300,0.10401226530318815,25,129224,0.00482225656877898,0.002417030770660965,0.9873417721518988,0.63947647417293,0.002411330263838152,78,32193,1,5.2496337890625,0.6475999355316162
2,16,50,315,0.09430160123996387,23,129445,0.004818235166939494,0.0024150102173509194,0.9873417721518988,0.6409935693197281,0.0024141457909581153,78,32220,1,5.255718469619751,0.6486051082611084
2,17,50,325,0.10088886044358893,23,130230,0.004787772764938772,0.002399704651735171,0.9873417721518988,0.6387084656246609,0.0023988777245089387,78,32426,1,5.263733863830566,0.650641918182373
2,18,50,335,0.1065789314793412,22,131039,0.00475682268638512,0.0023841545421200636,0.9873417721518988,0.6363588046893044,0.0023833715727115223,78,32638,1,5.267456293106079,0.6505279541015625
2,19,50,350,0.14573587452700837,3,57517,0.010345766403484889,0.005200848559501813,0.9620253164556962,0.8263592499116512,0.005131145367222636,76,14537,3,5.2860517501831055,0.6520795822143555
2,20,75,300,0.09774161971293877,23,128284,0.004858602217515884,0.002435293015704518,0.9873417721518988,0.643964593692869,0.0024343368844610427,78,31951,1,5.246609210968018,0.6480882167816162
2,21,75,315,0.09430160123996387,23,129445,0.004818235166939494,0.0024150102173509194,0.9873417721518988,0.6409902301521269,0.002414135205856609,78,32220,1,5.254615068435669,0.6490330696105957
2,22,75,325,0.0903412394239953,22,130205,0.004789242624259356,0.0024004431587369974,0.9873417721518988,0.638809753708563,0.0023995841988958475,78,32416,1,5.261516332626343,0.6500933170318604
2,23,75,335,0.1065789314793412,22,131039,0.00475682268638512,0.0023841545421200636,0.9873417721518988,0.6363588046893044,0.0023833715727115223,78,32638,1,5.27079963684082,0.6505966186523438
2,24,75,350,0.14573587452700837,3,57517,0.010345766403484889,0.005200848559501813,0.9620253164556962,0.8263592499116512,0.005131145367222636,76,14537,3,5.284948110580444,0.6524593830108643
3,0,5,300,0.18656352023403344,4,54517,0.011219368172423975,0.005642586680525651,0.9620253164556962,0.845643692492798,0.005622531028479239,76,13393,3,5.231179237365723,0.649071216583252
3,1,5,315,0.15859058574171742,4,55545,0.01100811123986095,0.005535727292592323,0.9620253164556962,0.842874470370965,0.005519148716172733,76,13653,3,5.241664171218872,0.6500527858734131
3,2,5,325,0.14402106589920208,4,56194,0.010882795160020046,0.005472350230414746,0.9620253164556962,0.8411392544192215,0.005457262377826078,76,13812,3,5.245738506317139,0.6508615016937256
3,3,5,335,0.17652536265766228,4,57042,0.010865730614548789,0.005463317723854122,0.9746835443037974,0.8412532010087403,0.005454041737808295,77,14017,2,5.249861478805542,0.6514315605163574
3,4,5,350,0.1756817908882867,4,57912,0.010674429888403688,0.005366601616950097,0.9746835443037974,0.8384998395843495,0.005359063340069544,77,14271,2,5.268780946731567,0.6532559394836426
3,5,10,300,0.18656352023403344,4,54517,0.011219368172423975,0.005642586680525651,0.9620253164556962,0.845643692492798,0.005622531028479239,76,13393,3,5.22743821144104,0.6498062610626221
3,6,10,315,0.15859058574171742,4,55545,0.01100811123986095,0.005535727292592323,0.9620253164556962,0.842874470370965,0.005519148716172733,76,13653,3,5.241243124008179,0.6509809494018555
3,7,10,325,0.14402106589920208,4,56194,0.010882795160020046,0.005472350230414746,0.9620253164556962,0.8410020732992394,0.005455459774181748,76,13812,3,5.245625019073486,0.6507911682128906
3,8,10,335,0.17652536265766228,4,57042,0.010865730614548789,0.005463317723854122,0.9746835443037974,0.8412532010087403,0.005454041737808295,77,14017,2,5.251017093658447,0.6515121459960938
3,9,10,350,0.1756817908882867,4,57912,0.010674429888403688,0.005366601616950097,0.9746835443037974,0.8384998395843495,0.005359063340069544,77,14271,2,5.266068935394287,0.6529498100280762
3,10,25,300,0.11248809262473317,27,129435,0.004817937552117113,0.002414860681114551,0.9873417721518988,0.6409972872642217,0.002414053843408873,78,32222,1,5.229438543319702,0.6487717628479004
3,11,25,315,0.15859058574171742,4,55545,0.01100811123986095,0.005535727292592323,0.9620253164556962,0.842874470370965,0.005519148716172733,76,13653,3,5.238574743270874,0.6502411365509033
3,12,25,325,0.14402106589920208,4,56194,0.010882795160020046,0.005472350230414746,0.9620253164556962,0.8410020732992393,0.005455459774181748,76,13812,3,5.248305559158325,0.6505880355834961
3,13,25,335,0.17652536265766228,4,57042,0.010865730614548789,0.005463317723854122,0.9746835443037974,0.8412532010087402,0.005454041737808295,77,14017,2,5.250951051712036,0.651634693145752
3,14,25,350,0.18452372392641442,3,57931,0.010670731707317074,0.005364732111753641,0.9746835443037974,0.8384434923697524,0.005357199531777323,77,14276,2,5.268480062484741,0.6528983116149902
3,15,50,300,0.10960007736114313,25,129207,0.0048262846889212015,0.0024190547078526236,0.9873417721518988,0.6416236456842626,0.002418254242889752,78,32166,1,5.228403091430664,0.6497678756713867
3,16,50,315,0.155807073688496,3,55581,0.011000940869942823,0.005532100742466153,0.9620253164556962,0.8426257078531878,0.005513630013396552,76,13662,3,5.191495180130005,0.6509788036346436
3,17,50,325,0.15266224948338913,3,56226,0.01087812209260717,0.0054699870447675256,0.9620253164556962,0.8409336218681731,0.005453112070902424,76,13818,3,5.246582269668579,0.6509978771209717
3,18,50,335,0.19266697863158877,3,57072,0.010861898716321062,0.005461380239733315,0.9746835443037974,0.841196853794143,0.0054521111314772075,77,14022,2,5.25439977645874,0.651904821395874
3,19,50,350,0.18452372392641442,3,57931,0.010670731707317074,0.005364732111753641,0.9746835443037974,0.8384434923697524,0.005357199531777323,77,14276,2,5.2716779708862305,0.6557989120483398
3,20,75,300,0.10859664306851304,24,129259,0.004823747680890538,0.002417779982021636,0.9873417721518988,0.6414539083958463,0.0024170428582729817,78,32183,1,5.231574773788452,0.6492669582366943
3,21,75,315,0.155807073688496,3,55581,0.011000940869942823,0.005532100742466153,0.9620253164556962,0.8426257078531878,0.005513630013396552,76,13662,3,5.194750547409058,0.6510698795318604
3,22,75,325,0.15266224948338913,3,56226,0.01087812209260717,0.0054699870447675256,0.9620253164556962,0.8409336218681731,0.005453112070902424,76,13818,3,5.199881076812744,0.651364803314209
3,23,75,335,0.19266697863158877,3,57072,0.010861898716321062,0.005461380239733315,0.9746835443037974,0.841196853794143,0.0054521111314772075,77,14022,2,5.25164532661438,0.6528515815734863
3,24,75,350,0.18452372392641442,3,57931,0.010670731707317074,0.005364732111753641,0.9746835443037974,0.8384434923697524,0.005357199531777323,77,14276,2,5.270917654037476,0.6529779434204102
4,0,5,300,0.9589642856897103,2,7985,0.0698012603005332,0.036290322580645164,0.9113924050632911,0.9518164533310107,0.03423092776686337,72,1912,7,5.22795557975769,0.649280309677124
4,1,5,315,0.14835520903166682,4,55188,0.010936038563925462,0.005499276410998553,0.9620253164556962,0.8312174142666694,0.005392931036132146,76,13744,3,5.242813348770142,0.6506485939025879
4,2,5,325,0.1764702064607698,4,55914,0.010787027180469803,0.005423922352269483,0.9620253164556962,0.8290845678474723,0.005319939017986446,76,13936,3,5.249634742736816,0.6511428356170654
4,3,5,335,0.14361786735989154,4,56548,0.010665918181180269,0.005362686988427886,0.9620253164556962,0.8273098392810485,0.005260660826012758,76,14096,3,5.257336139678955,0.6512532234191895
4,4,5,350,0.14301424589989103,3,57515,0.010488545404361027,0.005273017414833831,0.9620253164556962,0.8246355030860186,0.0051738209038171765,76,14337,3,5.270223140716553,0.6527810096740723
